_id,BUSLINENUM,ORD,BUSSTOPNAME,SIGUNNAME,GUNAME,DONGNAME,X,Y,UNIQUEID,BUSSTOPID,REALTIME,
1,10,1,사직여중,부산광역시,동래구,사직2동,129.0563744,35.19497738,06103,21060591019,165810301,
2,10,2,사직여고,부산광역시,동래구,사직2동,129.0536218,35.19724202,06105,21060591001,165810302,
3,10,3,사직중학교,부산광역시,동래구,사직2동,129.0543104,35.19942917,06106,21060591005,165810303,
4,10,4,사직종합사회복지관,부산광역시,동래구,사직2동,129.0558273,35.2005879,06107,21060591006,165810304,
5,10,5,사직2동주민센터,부산광역시,동래구,사직2동,129.0569129,35.20028776,06108,21060591007,165800201,
6,10,6,삼익아파트,부산광역시,동래구,사직2동,129.0588327,35.19965706,06111,21060591008,165800202,
7,10,7,국민시장,부산광역시,동래구,사직2동,129.0599718,35.19888489,06112,21060591009,166600201,
8,10,8,사직야구장,부산광역시,동래구,사직2동,129.0607446,35.19623931,06125,21060591017,166610202,
9,10,9,사직운동장,부산광역시,동래구,사직1동,129.0651848,35.19640075,06129,21060581001,166260101,
10,10,10,여명중학교,부산광역시,동래구,사직3동,129.069993,35.1958973,06133,21060601004,166660101,
11,10,11,대선주조,부산광역시,연제구,거제1동,129.0726592,35.19644925,13001,21130511001,193720101,
12,10,12,화신아파트,부산광역시,연제구,거제1동,129.0759842,35.19855007,13002,21130511002,165960101,
13,10,13,교대역,부산광역시,연제구,거제1동,129.0796093,35.19451578,13007,21130511027,193680302,
14,10,14,거제1치안센터,부산광역시,연제구,거제1동,129.0775507,35.19128113,13011,21130511016,193510301,
15,10,15,법원검찰청,부산광역시,연제구,거제1동,129.0750275,35.1896623,13137,21130511003,193520201,
16,10,16,경남아파트.농산물품질관리원,부산광역시,연제구,거제3동,129.0716234,35.18637276,13026,21130531003,193840301,
17,10,17,거제리,부산광역시,연제구,거제3동,129.0697835,35.18284985,13031,21130531009,193570301,
18,10,18,양정유림아파트,부산광역시,부산진구,양정1동,129.0674057,35.1765225,13035,21050561013,209020201,
19,10,19,하마정,부산광역시,부산진구,양정1동,129.0672891,35.17447258,05027,21050561001,164010301,
20,10,20,양정대원칸타빌,부산광역시,부산진구,양정1동,129.0672498,35.17049409,05026,21050561009,164390201,
21,10,21,송공삼거리,부산광역시,부산진구,범전동,129.066446,35.16725456,05173,21050531007,164190301,
22,10,22,부전역,부산광역시,부산진구,부전1동,129.0629118,35.16285518,05179,21050511010,164180301,
23,10,23,부전시장,부산광역시,부산진구,부전1동,129.0611722,35.16062035,05182,21050511016,164170402,
24,10,24,서면,부산광역시,부산진구,부전2동,129.0589274,35.15483176,05240,21050521026,164680302,
25,10,25,범내골,부산광역시,부산진구,범천1동,129.0590189,35.14903451,05229,21050771015,164100301,
26,10,26,중앙시장,부산광역시,부산진구,범천1동,129.0590991,35.14328321,05216,21050771006,164230202,
27,10,27,(구)영남예식장,부산광역시,동구,범일2동,129.0608784,35.13892595,03146,21030661002,169990101,
28,10,28,문현교차로,부산광역시,남구,문현3동,129.0714578,35.13708849,07048,21070681004,179810301,
